date;respo;broker;address;ville;code_postal;asset_type;surface;surface_loue;occupancy_rate;name_rent;name_owner;annual_rent;annual_rent_sqm;annual_rent_sqm_pot;annual_rent_pot;price;prix_m2;surface_office
;;Olivier Lambin (CBRE);64 allée des Champs Elysées;Courcouronnes;91080;Retail;2140;2140;100%; BNP - Annapurna - Evry Form;;349583;163;;349583;6200000;2897;
01/04/2015;;BNPRE;11-15 Rue Léon Blum;Palaiseau;91120;Light Industrial;3828;3828;100,00%; Swiss Post ;VLD;196237,38;51,3;51,3;196237,38;1825000;476,8;10%
22/10/2015;;BNPRE;1-5 rue Michel Carré;Argenteuil;95100;Light Industrial;864;864;100,00%; Mesnil Accessoires ;VLD;87622,03;101,4;101,4;87622,03;846000;979,2;0%
24/03/2016;;BNPRE;6 Avenue Louis Pasteur;Maurepas;78310;Light Industrial;8209;8209;100,00%; Altead ;VLD;393267,11;47,9;48,7;400000;4295000;523,2;10%
11/04/2016;;BNPRE;4 Rue Albert Einstein;Trappes;78190;Light Industrial;1276;1276;100,00%; D2T ;VLD;82938;65;65;82938;880000;689,7;22%
17/11/2016;;CBRE;44 Avenue du 8 Mai 1945;Villeneuve-la-Garenne;92390;Light Industrial;3441;3441;100,00%; Intelligence en Direct ;VLD;333932,59;97;97;333932,59;2800000;813,7;21%
15/01/2017;;BNPRE;15 Rue Benjamin Raspail ;Malakoff;92240;Light Industrial;2893;2893;100,00%; Monal Holding ;VLD;355378;122,8;122,8;355378;4149536;1434,3;31%
26/07/2017;;CBRE; 64 allée des Champs Elysées ;Courcouronnes;91080;Retail;2140;2140;100,00%; BNP ;VLD;351115;164,1;164,1;351115;3981058,44;1860,3;0%
11/12/2017;;Nexity;10 avenue André Marie Ampère;Montigny-le-Bretonneux;78180;Light Industrial;559;559;100,00%; Exosport ;VLD;55357,75;99;99;55357,75;750000;1341,7;0%
05/04/2018;;Nexity;7 allée(s) des Aphleries;Le Perray en Yvelines;78610;Light Industrial;743;743;100,00%; Locaposte ;VLD;53125,3;71,5;71,5;53125,3;440000;592,2;33%
29/03/2018;;BNPRE;Zone Industrielle Nord;Morangis;91420;Light Industrial;1309;1309;100,00%; CTL ;VLD;64109,1;49;49;64109,1;1000000;763,9;24%
27/07/2018;;CBRE;61 rue Emile Zola;Corbeil Essonnes;91100;Light Industrial;1530;1530;100,00%; TME ;VLD;69500;45,4;45,4;69500;705000;460,8;4%
18/07/2018;;BNPRE;16 rue Jean Jacques Rousseau ;Grigny;91350;Light Industrial;706;706;100,00%; Agence Proximité Services ;VLD;63230;89,6;89,6;63230;700000;991,5;32%
